Марка и модель,Выигрышная ставка,Записей о продаже,VIN,Пробег,Дата аукциона,Двигатель,Кузов,Цвет,Коробка передач,Топливо,Привод,Ключи,Состояние,Место продажи,Стоимость ремонта,Рыночная стоимость,Документы,Тип повреждения,Основное повреждение,Второстепенное повреждение
2011 Honda Civic Lx-s,$ 1 350 USD,1,19XFA1F62BE043046,144 665 mi(подтвержден),16.05.2024 17:00 UTC,1.8l 4,,Угольный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""WILMER, TEXAS"",$ 12 469 USD,$ 7 825 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Повреждение задней части,Повреждение передней части
2022 Polaris Rzr Pro R 4 Premium,$ 16 600 USD,1,3NSRMK2KXNG384666,,16.05.2024 17:00 UTC,4,,Синий,Автоматическая,Бензин,,Ключи присутствуют,улучшенные транспортные средства,""VAN NUYS, CALIFORNIA"",$ 21 527 USD,$ 0 USD,CA - SALVAGE CERTIFICATE,Кража,Вандализм,Разукомплектовано
2011 Ford Focus Se,$ 250 USD,1,1FAHP3FN1BW203309,185 970 mi(подтвержден),16.05.2024 17:00 UTC,2.0l 4,,Серый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""NEWTON, ALABAMA"",$ 4 270 USD,$ 4 800 USD,AL - CERT OF TITLE-SALVAGE TITLE,Столкновение,Повреждение передней части,Повреждение стороны
2017 Jeep Renegade Latitude,$ 1 850 USD,1,ZACCJABB2HPF26862,28 566 mi(подтвержден),16.05.2024 17:00 UTC,2.4l 4,,Серый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""ELGIN, ILLINOIS"",$ 12 594 USD,$ 13 075 USD,IL - SALVAGE CERTIFICATE,Столкновение,Повсюду,
2015 Infiniti Q50 Base,$ 3 300 USD,1,JN1BV7AR1FM406115,144 220 mi(подтвержден),16.05.2024 14:00 UTC,3.7l 6,,Черный,Автоматическая,Бензин,Полный привод,Ключи присутствуют,заводится и едет,""BYRON, GEORGIA"",$ 10 684 USD,$ 12 925 USD,GA - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,
2010 Hyundai Elantra Blue,$ 1 000 USD,1,KMHDU4ADXAU880628,69 944 mi(подтвержден),16.05.2024 14:00 UTC,2.0l 4,,Бордовый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""EBENSBURG, PENNSYLVANIA"",$ 5 584 USD,$ 5 250 USD,PA - CERTIFICATE OF SALVAGE,Столкновение,Повреждение задней части,
2017 Toyota Yaris L,$ 1 200 USD,1,VNKKTUD34HA078919,,16.05.2024 14:00 UTC,1.5l 4,,Угольный,Автоматическая,Бензин,передний привод,,улучшенные транспортные средства,""EXETER, RHODE ISLAND"",$ 0 USD,$ 12 575 USD,RI - SALVAGE CERTIFICATE OF TITLE,Столкновение,Повсюду,
2013 Buick Encore Convenience,$ 1 400 USD,1,KL4CJBSB1DB094799,19 792 mi(подтвержден),16.05.2024 14:00 UTC,1.4l 4,,Синий,Автоматическая,Бензин,передний привод,Ключи присутствуют,двигатель запускается,""ORLANDO, FLORIDA"",$ 10 847 USD,$ 6 700 USD,FL - CERT OF TITLE SLVG REBUILDABLE,Столкновение,Повреждение передней части,Повреждение стороны
2015 Ford F750 Super Duty,$ 3 050 USD,1,3FRWX7FE8FV697860,,16.05.2024 16:00 UTC,6.7l 6,обычная кабина,Белый,Автоматическая,Дизель,задний привод,,улучшенные транспортные средства,""LOUISVILLE, KENTUCKY"",$ 80 000 USD,$ 0 USD,KY - CERT OF TITLE-SALVAGE,Столкновение,Повсюду,
2016 Ford Escape Se,$ 2 000 USD,1,1FMCU9GXXGUB42508,144 239 mi(подтвержден),16.05.2024 14:00 UTC,1.6l 4,,Черный,Автоматическая,Бензин,4х4 с передним приводом,Ключи присутствуют,заводится и едет,""WEST PALM BEACH, FLORIDA"",$ 9 330 USD,$ 10 250 USD,FL - CERT OF TITLE SLVG REBUILDABLE,Столкновение,Повреждение задней части,Незначительная вмятина/царапины
2018 Honda Civic Touring,$ 7 900 USD,1,JHMFC1F96JX019883,46 492 mi(подтвержден),16.05.2024 17:00 UTC,1.5l 4,,Черный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""GRAND PRAIRIE, TEXAS"",$ 20 544 USD,$ 20 900 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Повреждение передней части,
2003 Wand Trailer,$ 3 650 USD,1,4XTTN28203C242210,,16.05.2024 16:00 UTC,,,Белый,,,,Ключи присутствуют,улучшенные транспортные средства,""SACRAMENTO, CALIFORNIA"",$ 0 USD,$ 0 USD,CA - SALVAGE CERTIFICATE,Столкновение,Вода/Наводнение,
2016 Volkswagen Passat Se,$ 2 800 USD,1,1VWBT7A34GC020999,66 731 mi(подтвержден),16.05.2024 14:00 UTC,1.8l 4,,Красный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""EAST GRANBY, CONNECTICUT"",$ 11 248 USD,$ 11 400 USD,CT - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,Незначительная вмятина/царапины
2015 Chevrolet Tahoe K1500 Ltz,$ 6 100 USD,1,1GNSKCKC7FR635174,197 433 mi,16.05.2024 17:00 UTC,5.3l 8,,Черный,Автоматическая,Бензин,4х4 с задним приводом,Ключи присутствуют,,""EARLINGTON, KENTUCKY"",$ 18 734 USD,$ 23 550 USD,KY - CERT OF TITLE-SALVAGE,Столкновение,Повреждение задней части,Незначительная вмятина/царапины
2016 Honda Civic Lx,$ 2 400 USD,1,2HGFC2F51GH551948,,16.05.2024 17:00 UTC,2.0l 4,,Белый,Автоматическая,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,""HOUSTON, TEXAS"",$ 10 827 USD,$ 7 675 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Повреждение передней части,Повреждение стороны
2014 Kutb Trailer,$ 4 100 USD,1,4YDF32027E3101487,,16.05.2024 16:00 UTC,,,Белый,,,,,улучшенные транспортные средства,""APPLETON, WISCONSIN"",$ 18 402 USD,$ 0 USD,WI - JUNKED VEHICLE BILL OF SALE,Столкновение,Верх/крыша,
2015 Volvo V60 Premier,$ 700 USD,1,YV140MEK2F1220238,,16.05.2024 17:00 UTC,2.0l 4,,Серый,Автоматическая,Бензин,передний привод,,улучшенные транспортные средства,""HOUSTON, TEXAS"",$ 8 806 USD,$ 11 775 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Повреждение передней части,
2001 Chevrolet Silverado C1500,$ 1 850 USD,1,2GCEC19T311181083,267 143 mi,16.05.2024 17:00 UTC,5.3l 8,,Красный,Автоматическая,Бензин,задний привод,Ключи присутствуют,заводится и едет,""MONTGOMERY, ALABAMA"",$ 0 USD,$ 4 275 USD,AL - CERTIFICATE OF TITLE,Изьятие,Незначительная вмятина/царапины,
2011 Chevrolet Equinox Ls,$ 1 300 USD,1,2GNALBEC4B1293362,74 463 mi(подтвержден),16.05.2024 17:00 UTC,2.4l 4,,Белый,Автоматическая,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,""HOUSTON, TEXAS"",$ 5 656 USD,$ 6 300 USD,TX - SALVAGE TITLE-FLOOD DAMAGE,Вода/Наводнение,Вода/Наводнение,Незначительная вмятина/царапины
2017 Mercedes-benz Glc 300,$ 8 200 USD,1,WDC0G4JB3HF138167,70 808 mi(подтвержден),16.05.2024 17:00 UTC,2.0l 4,4-дверный спорт,Белый,Автоматическая,Бензин,задний привод,Ключи присутствуют,заводится и едет,""WILMER, TEXAS"",$ 16 014 USD,$ 18 075 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Повреждение стороны,Незначительная вмятина/царапины
2007 Ford Expedition Eddie Bauer,$ 725 USD,1,1FMFU17527LA10281,221 055 mi(подтвержден),16.05.2024 17:00 UTC,5.4l 8,,Белый,Автоматическая,Бензин,задний привод,Ключи присутствуют,заводится и едет,""EARLINGTON, KENTUCKY"",$ 4 931 USD,$ 4 925 USD,KY - CERT OF TITLE-SALVAGE,Столкновение,Повреждение стороны,Повреждение передней части
2009 Toyota Rav4 Sport,$ 1 250 USD,1,JTMBF32V29D012710,129 834 mi(подтвержден),16.05.2024 17:00 UTC,2.5l 4,4-дверный спорт,Серый,Автоматическая,Бензин,Полный привод,Ключи присутствуют,двигатель запускается,""HOUSTON, TEXAS"",$ 11 126 USD,$ 8 525 USD,TX - SALVAGE VEHICLE TITLE,Материальный ущерб,Повреждение задней части,Повреждение стороны
2016 Bmw X5 Xdrive35d,$ 8 300 USD,1,5UXKS4C57G0N14695,181 285 mi(подтвержден),16.05.2024 17:00 UTC,3.0l 6,4-дверный спорт,Белый,Автоматическая,Дизель,Полный привод,Ключи присутствуют,заводится и едет,""EARLINGTON, KENTUCKY"",$ 0 USD,$ 14 925 USD,KY - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,Незначительная вмятина/царапины
2022 Nissan Rogue Sport Sv,$ 9 600 USD,1,JN1BJ1BWXNW486367,21 036 mi(подтвержден),16.05.2024 17:00 UTC,2.0l 4,,Серый,Автоматическая,Бензин,Полный привод,Ключи присутствуют,заводится и едет,""MONTGOMERY, ALABAMA"",$ 19 955 USD,$ 24 350 USD,AL - CERT OF TITLE-SALVAGE TITLE,Столкновение,Повреждение передней части,
2006 Ford Ranger Super Cab,$ 1 750 USD,1,1FTYR14U16PA15246,112 511 mi,16.05.2024 17:00 UTC,3.0l 6,,Черный,Автоматическая,Бензин,задний привод,Ключи присутствуют,заводится и едет,""SAN ANTONIO, TEXAS"",$ 7 316 USD,$ 6 425 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Повреждение задней части,Повреждение ходовой части
2023 Volkswagen Jetta Sport,$ 9 600 USD,1,3VWBM7BU6PM023079,35 408 mi(подтвержден),16.05.2024 17:00 UTC,1.5l 4,,Угольный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""EARLINGTON, INDIANA"",$ 0 USD,$ 24 075 USD,IN - CERT OF TITLE-SALVAGE TITLE,Столкновение,Повреждение передней части,Повреждение стороны
2006 Mercury Montego Premier,$ 300 USD,1,1MEHM43196G617642,165 795 mi,16.05.2024 17:00 UTC,3.0l 6,,Серебряный,Автоматическая,Бензин,Полный привод,Ключи присутствуют,заводится и едет,""ELGIN, ILLINOIS"",$ 2 168 USD,$ 3 825 USD,IL - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,Повреждение задней части
2013 Honda Pilot Touring,$ 2 500 USD,1,5FNYF3H90DB033433,204 124 mi(подтвержден),16.05.2024 17:00 UTC,3.5l 6,,Угольный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""GRAND PRAIRIE, TEXAS"",$ 10 969 USD,$ 11 500 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Повреждение передней части,
2017 Chevrolet Silverado K1500 Lt,$ 7 900 USD,1,3GCUKREC9HG134645,55 859 mi(подтвержден),16.05.2024 17:00 UTC,5.3l 8,,Черный,Автоматическая,Бензин,4х4 с задним приводом,Ключи присутствуют,заводится и едет,""MONTGOMERY, ALABAMA"",$ 18 778 USD,$ 27 600 USD,AL - CERT OF TITLE-SALVAGE TITLE,Столкновение,Повсюду,
2014 Harley-davidson Xl883 Iron 883,$ 1 100 USD,1,1HD4LE212EC426417,45 801 mi(подтвержден),16.05.2024 17:00 UTC,2,,Черный,Автоматическая,Бензин,,Ключи присутствуют,двигатель запускается,""KANSAS CITY, KANSAS"",$ 14 678 USD,$ 0 USD,KS - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,
2022 Mitsubishi Outlander Se,$ 13 700 USD,1,JA4J4UA89NZ047187,58 265 mi(подтвержден),16.05.2024 17:00 UTC,2.5l 4,,Серебряный,Автоматическая,Бензин,Полный привод,Ключи присутствуют,заводится и едет,""NEWTON, FLORIDA"",$ 14 432 USD,$ 26 500 USD,FL - CERT OF TITLE SLVG REBUILDABLE,Неизвестно,Повреждение стороны,
2020 Mazda Cx-5 Grand Touring,$ 5 300 USD,1,JM3KFBDMXL0863190,30 453 mi(подтвержден),16.05.2024 17:00 UTC,2.5l 4,,Синий,Автоматическая,Бензин,Полный привод,Ключи присутствуют,заводится и едет,""ELGIN, ILLINOIS"",$ 22 333 USD,$ 24 250 USD,IL - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,Незначительная вмятина/царапины
2019 Hyundai Sonata Limited,$ 4 500 USD,1,5NPE34AF6KH756297,74 621 mi(подтвержден),16.05.2024 17:00 UTC,2.4l 4,,Серый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""SAN ANTONIO, TEXAS"",$ 11 362 USD,$ 16 550 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Повреждение стороны,Незначительная вмятина/царапины
