Марка и модель,Выигрышная ставка,Записей о продаже,VIN,Пробег,Дата аукциона,Двигатель,Цвет,Коробка передач,Топливо,Привод,Ключи,Состояние,Место продажи,Стоимость ремонта,Рыночная стоимость,Документы,Тип повреждения,Основное повреждение,Кузов,Второстепенное повреждение
2019 Hyundai Sonata Se,$ 2 300 USD,1,5NPE24AF7KH743173,126 370 mi(подтвержден),15.05.2024 19:00 UTC,2.4l 4,Серый,Автоматическая,Бензин,передний привод,,двигатель запускается,""MARTINEZ, CALIFORNIA"",$ 0 USD,$ 10 550 USD,CA - SALVAGE CERTIFICATE,Столкновение,Вандализм,,Повреждение ходовой части
2016 Buick Encore,$ 1 700 USD,1,KL4CJASB2GB687490,123 309 mi(подтвержден),15.05.2024 17:00 UTC,1.4l 4,Белый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""LEBANON, TENNESSEE"",$ 5 356 USD,$ 9 925 USD,TN - SALVAGE CERTIFICATE,Материальный ущерб,Повреждение задней части,,
2014 Toyota Sienna Le,$ 1 150 USD,1,5TDKK3DC3ES437309,355 335 mi(подтвержден),15.05.2024 17:00 UTC,3.5l 6,Серебряный,Автоматическая,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,""LEBANON, TENNESSEE"",$ 6 649 USD,$ 12 925 USD,TN - CERT OF TITLE-REBUILT VEHICLE,Столкновение,Повреждение передней части,спортивная версия,Повреждение стороны
2007 Honda Cr-v Exl,$ 1 800 USD,1,JHLRE48707C115310,172 485 mi,15.05.2024 17:00 UTC,2.4l 4,Серебряный,Автоматическая,Бензин,Полный привод,Ключи присутствуют,заводится и едет,""LEBANON, TENNESSEE"",$ 6 100 USD,$ 6 525 USD,TN - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,
2020 Toyota Corolla Xse,$ 3 450 USD,1,JTNC4RBE4L3097457,28 456 mi,15.05.2024 19:00 UTC,2.0l 4,Белый,Автоматическая,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,""NORTH LAS VEGAS, NEVADA"",$ 24 420 USD,$ 24 075 USD,NV - SALVAGE TITLE,Столкновение,Повреждение передней части,,
2013 Toyota Camry L,$ 1 850 USD,1,4T4BF1FK4DR320850,202 070 mi(подтвержден),15.05.2024 19:00 UTC,2.5l 4,Бежевый,Автоматическая,Бензин,передний привод,Ключи присутствуют,,""PHOENIX, ARIZONA"",$ 0 USD,$ 10 525 USD,AZ - CERTIFICATE OF TITLE,Неизвестно,Механическое повреждение,,Незначительная вмятина/царапины
2021 Ford Mustang Gt,$ 15 900 USD,1,1FA6P8CF6M5112983,13 861 mi(подтвержден),15.05.2024 17:00 UTC,5.0l 8,Серый,Автоматическая,Бензин,задний привод,Ключи присутствуют,заводится и едет,""NEW ORLEANS, LOUISIANA"",$ 29 597 USD,$ 35 675 USD,LA - CERT OF TITLE-SALVAGE,Столкновение,Повсюду,,
2011 Honda Cr-v Se,$ 4 050 USD,1,5J6RE3H46BL050401,79 447 mi(подтвержден),15.05.2024 17:00 UTC,2.4l 4,Серебряный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""NEW ORLEANS, LOUISIANA"",$ 7 143 USD,$ 8 250 USD,LA - CERT OF TITLE-SALVAGE,Столкновение,Повреждение стороны,,Незначительная вмятина/царапины
2013 Hyundai Elantra Gls,$ 1 250 USD,1,5NPDH4AEXDH369971,158 068 mi(подтвержден),15.05.2024 17:00 UTC,1.8l 4,Серебряный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""LEBANON, TENNESSEE"",$ 6 123 USD,$ 6 875 USD,TN - CERTIFICATE OF TITLE,Столкновение,Повреждение передней части,4-дверный седан,Незначительная вмятина/царапины
2009 Toyota Corolla Base,$ 3 000 USD,1,1NXBU40E29Z030599,104 453 mi(подтвержден),15.05.2024 19:00 UTC,1.8l 4,Серый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""MARTINEZ, CALIFORNIA"",$ 8 116 USD,$ 7 600 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение стороны,,Повреждение передней части
2011 Hyundai Elantra Touring Gls,$ 325 USD,3,KMHDC8AE6BU092434,159 881 mi(подтвержден),15.05.2024 19:00 UTC,2.0l 4,Синий,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""MARTINEZ, TEXAS"",$ 9 418 USD,$ 6 625 USD,TX - SALVAGE VEHICLE TITLE,Дилерские услуги Copart,Повреждение задней части,стационарный (неподвижный),Повреждение передней части
2016 Audi Q5 Premium Plus,$ 4 100 USD,1,WA1L2AFP1GA118767,99 739 mi(подтвержден),15.05.2024 19:00 UTC,2.0l 4,Серый,Автоматическая,Этанолосодержащий бензин,Полный привод,Ключи присутствуют,улучшенные транспортные средства,""NORTH LAS VEGAS, NEVADA"",$ 12 502 USD,$ 14 100 USD,NV - SALVAGE TITLE,Столкновение,Повреждение задней части,4-дверный спорт,
2003 Mercedes-benz S 500,$ 125 USD,3,WDBNG75J63A353979,162 709 mi,15.05.2024 19:00 UTC,5.0l 8,Серебряный,Автоматическая,Бензин,задний привод,Ключи присутствуют,улучшенные транспортные средства,""NORTH LAS VEGAS, NEVADA"",$ 0 USD,$ 0 USD,NV - CERTIFICATE OF TITLE,Публичный коносамент,Механическое повреждение,,
2008 Honda Accord Exl,$ 1 300 USD,1,1HGCP36868A033552,183 077 mi,15.05.2024 19:00 UTC,3.5l 6,Белый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""NORTH LAS VEGAS, NEVADA"",$ 0 USD,$ 8 625 USD,NV - SALVAGE TITLE,Столкновение,Повреждение задней части,,
2012 Ford Transit Connect Xlt,$ 375 USD,1,NM0LS6BN0CT113689,110 925 mi(подтвержден),15.05.2024 16:00 UTC,2.0l 4,Серебряный,Автоматическая,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,""SAN DIEGO, CALIFORNIA"",$ 9 689 USD,$ 10 600 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,
2009 Mercedes-benz Slk 300,$ 375 USD,5,WDBWK54F09F206315,119 292 mi,15.05.2024 19:00 UTC,3.0l 6,Белый,Автоматическая,Бензин,задний привод,Ключи присутствуют,улучшенные транспортные средства,""NORTH LAS VEGAS, NEVADA"",$ 7 774 USD,$ 10 475 USD,NV - SALVAGE TITLE,Столкновение,Повреждение передней части,,Повреждение задней части
2019 Honda Accord Ex,$ 5 800 USD,4,1HGCV1F46KA115862,43 585 mi(подтвержден),15.05.2024 17:00 UTC,1.5l 4,Черный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""LEBANON, TENNESSEE"",$ 0 USD,$ 21 700 USD,TN - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,Повреждение задней части
2019 Jeep Grand Cherokee Limited,$ 3 750 USD,1,1C4RJFBG3KC804084,60 078 mi(подтвержден),15.05.2024 19:00 UTC,3.6l 6,Темно-бордовый,Автоматическая,Этанолосодержащий бензин,4х4 с задним приводом,Ключи присутствуют,двигатель запускается,""AIRWAY HEIGHTS, WASHINGTON"",$ 0 USD,$ 24 575 USD,WA - BILL OF SALE,Столкновение,Повреждение передней части,,Повреждение ходовой части
2015 Toyota Rav4 Limited,$ 3 000 USD,1,JTMYFREV0FJ041824,154 168 mi(подтвержден),15.05.2024 17:00 UTC,2.5l 4,Серый,Автоматическая,Бензин,передний привод,Ключи присутствуют,двигатель запускается,""LEBANON, TENNESSEE"",$ 16 500 USD,$ 15 175 USD,TN - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,Повреждение стороны
2015 Porsche 911 Carrera,$ 35 500 USD,1,WP0AA2A94FS106247,26 028 mi(подтвержден),15.05.2024 19:00 UTC,3.4l 6,Синий,Автоматическая,Бензин,задний привод,Ключи присутствуют,заводится и едет,""NORTH LAS VEGAS, NEVADA"",$ 47 020 USD,$ 67 000 USD,NV - SALVAGE TITLE,Столкновение,Повреждение передней части,,
2022 Mercedes-benz Glc 300 4matic,$ 16 300 USD,1,W1N0G8EB7NG083325,35 249 mi(подтвержден),15.05.2024 16:00 UTC,2.0l 4,Серый,Автоматическая,Бензин,Полный привод,,улучшенные транспортные средства,""SAN MARTIN, CALIFORNIA"",$ 24 352 USD,$ 38 000 USD,CA - CERT OF TITLE OR SALVAGE ACQ,Столкновение,Повреждение передней части,,
2021 Chevrolet Equinox Lt,$ 3 050 USD,1,3GNAXJEV7MS160814,260 532 mi(подтвержден),15.05.2024 17:00 UTC,1.5l 4,Серебряный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""LEBANON, TENNESSEE"",$ 3 530 USD,$ 22 825 USD,TN - CERTIFICATE OF TITLE,Неизвестно,Повреждение задней части,,
2023 Audi Q5 Premium Plus 45,$ 23 600 USD,2,WA1EAAFY8P2060042,36 290 mi(подтвержден),15.05.2024 16:00 UTC,2.0l 4,Черный,Автоматическая,Бензин,Полный привод,Ключи присутствуют,заводится и едет,""COLUMBIA STATION, OHIO"",$ 0 USD,$ 40 625 USD,OH - CERTIFICATE OF TITLE (P),Аренда,Повреждение передней части,,Повреждение стороны
2024 Toyota Rav4 Le,$ 19 200 USD,1,2T3F1RFV8RW442306,9 mi(подтвержден),15.05.2024 16:00 UTC,2.5l 4,Серый,Автоматическая,Бензин,Полный привод,Ключи присутствуют,заводится и едет,""HAYWARD, CALIFORNIA"",$ 0 USD,$ 0 USD,CA - NON-REPAIRABLE VEHICLE CERT,Аренда,Повреждение задней части,,
2006 Ford Mustang,$ 300 USD,1,1ZVFT80N365110691,,15.05.2024 19:00 UTC,4.0l 6,Синий,Автоматическая,Бензин,задний привод,,улучшенные транспортные средства,""NORTH LAS VEGAS, ARIZONA"",$ 0 USD,$ 4 050 USD,AZ - CERT OF TITLE - SALVAGE,Столкновение,Повсюду,,
2012 Bmw 328 I,$ 1 700 USD,1,WBA3A5C56CF348799,128 820 mi(подтвержден),15.05.2024 17:00 UTC,2.0l 4,Черный,Автоматическая,Бензин,задний привод,Ключи присутствуют,заводится и едет,""LEBANON, TENNESSEE"",$ 7 237 USD,$ 7 950 USD,TN - SALVAGE CERTIFICATE,Кража,Повреждение передней части,,Незначительная вмятина/царапины
2021 Ford Transit T-350,$ 7 300 USD,1,1FBAX2YG6MKA20295,35 631 mi(подтвержден),15.05.2024 16:00 UTC,3.5l 6,Белый,Автоматическая,Бензин,задний привод,Ключи присутствуют,заводится и едет,""HAYWARD, CALIFORNIA"",$ 0 USD,$ 0 USD,CA - NON-REPAIRABLE VEHICLE CERT,Аренда,Повреждение передней части,,
2012 Nissan Versa S,$ 925 USD,1,3N1CN7AP4CL894761,137 604 mi(подтвержден),15.05.2024 17:00 UTC,1.6l 4,Серебряный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""NEW ORLEANS, LOUISIANA"",$ 4 652 USD,$ 5 175 USD,LA - CERT OF TITLE-SALVAGE,Столкновение,Повреждение стороны,,
2022 Honda Cr-v Touring,$ 12 000 USD,1,5J6RT6H99NL039206,21 083 mi(подтвержден),15.05.2024 17:00 UTC,2.0l 4,Черный,Автоматическая,Гибрид,Полный привод,Ключи присутствуют,двигатель запускается,""LEBANON, TENNESSEE"",$ 23 617 USD,$ 35 100 USD,TN - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,Повреждение ходовой части
2012 Toyota Tacoma Double Cab Long Bed,$ 7 200 USD,1,5TFMU4FN6CX007403,153 996 mi(подтвержден),15.05.2024 19:00 UTC,4.0l 6,Белый,Автоматическая,Бензин,4х4 с задним приводом,Ключи присутствуют,двигатель запускается,""AIRWAY HEIGHTS, WASHINGTON"",$ 19 386 USD,$ 16 875 USD,WA - BILL OF SALE,Неизвестно,Повреждение передней части,,Повреждение стороны
2013 Jeep Grand Cherokee Overland,$ 1 900 USD,3,1C4RJECT2DC645258,147 812 mi(подтвержден),15.05.2024 17:00 UTC,5.7l 8,Черный,Автоматическая,Бензин,задний привод,Ключи присутствуют,заводится и едет,""NEW ORLEANS, LOUISIANA"",$ 0 USD,$ 10 275 USD,LA - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,,Повреждение стороны
2019 Jaguar E-pace Se,$ 4 200 USD,1,SADFP2FX8K1Z40439,30 372 mi(подтвержден),15.05.2024 19:00 UTC,2.0l 4,Белый,Автоматическая,Бензин,Полный привод,Ключи присутствуют,улучшенные транспортные средства,""NORTH LAS VEGAS, NEVADA"",$ 29 060 USD,$ 29 325 USD,NV - SALVAGE TITLE,Столкновение,Повреждение передней части,,
